LOCATIONID,STATISTICSGROUPCODE,DEPARTMENTCODE,AXBATCHCODE,ZONE,TERRITORY,REGION,DISTRICT,STORE,BUSINESSLINE,BU,BUNAME,BUDTL,COMPANY,COMPANYNAME,STORETYPE,CHAIN,DATAAREAID,,
58891,W003301,W0033,NULL,503,505,599,5544,58891,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,DC-OTHER,JPN,8000,,
58892,W003401,W0034,NULL,503,505,599,5546,58892,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,DC-OTHER,JPN,8000,,
58893,W003501,W0035,NULL,503,505,599,5552,58893,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,DC-OTHER,JPN,8000,,
58894,2021505,20215,NULL,503,508,508,5139,58894,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,OUTPOST,JPN,8000,,
30409,3040901,3186,NULL,305,315,316,3186,30409,Wholesale,AP RLW,APAC WHOLESALE,RLWKOR,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,KOR,7107,,
58884,4355006,99910,NULL,503,502,518,5020,58884,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,OUTPOST,JPN,8000,,
58886,2021504,20215,NULL,503,508,508,5139,58886,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,OFF-SITE,JPN,8000,,
58887,2021504,20215,NULL,503,508,508,5139,58887,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,OFF-SITE,JPN,8000,,
58930,1001008,10010,NULL,503,505,505,5039,58930,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,OFF-SITE,JPN,8000,,
58931,S036201,S0362,NULL,503,505,505,5674,58931,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,OUTPOST,JPN,8000,,
58932,1021009,10210,NULL,503,505,505,5269,58932,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,OUTPOST,JPN,8000,,
58933,1132008,11320,NULL,503,505,505,5053,58933,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,OFF-SITE,JPN,8000,,
58934,1001026,10010,NULL,503,505,505,5039,58934,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,OUTPOST,JPN,8000,,
58935,2062507,20625,NULL,503,506,506,5115,58935,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,OUTPOST,JPN,8000,,
58936,3005005,30050,NULL,503,502,518,5011,58936,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,OFF-SITE,JPN,8000,,
58937,3005005,30050,NULL,503,502,518,5011,58937,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,OFF-SITE,JPN,8000,,
58990,S039901,S0399,NULL,503,505,505,5720,58990,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,OFF-SITE,JPN,8000,,
58991,S039901,S0399,NULL,503,505,505,5720,58991,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,OFF-SITE,JPN,8000,,
55208,S018701,S0187,NULL,504,514,514,5470,55208,KA,AP RLW,APAC WHOLESALE,RLWJPN,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,JPN,8000,,
55209,S019003,S0190,NULL,504,513,513,5439,55209,KA,AP RLW,APAC WHOLESALE,RLWJPN,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,JPN,8000,,
55838,8281017,82810,NULL,504,515,515,5244,55838,KA,AP RLW,APAC WHOLESALE,RLWJPN,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,JPN,8000,,
55839,8281018,82810,NULL,504,515,515,5244,55839,KA,AP RLW,APAC WHOLESALE,RLWJPN,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,JPN,8000,,
55887,1051009,10510,NULL,504,510,510,5149,55887,KA,AP RLW,APAC WHOLESALE,RLWJPN,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,JPN,8000,,
55888,1051007,10510,NULL,504,510,510,5149,55888,CK,AP RLW,APAC WHOLESALE,RLWJPN,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,JPN,8000,,
55889,S049502,S0495,NULL,504,513,513,5813,55889,KA,AP RLW,APAC WHOLESALE,RLWJPN,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,JPN,8000,,
55890,S049602,S0496,NULL,504,510,510,5814,55890,KA,AP RLW,APAC WHOLESALE,RLWJPN,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,JPN,8000,,
55891,S049702,S0497,NULL,504,512,512,5815,55891,KA,AP RLW,APAC WHOLESALE,RLWJPN,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,JPN,8000,,
55892,S049802,S0498,NULL,504,514,514,5816,55892,KA,AP RLW,APAC WHOLESALE,RLWJPN,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,JPN,8000,,
55893,S049902,S0499,NULL,504,515,515,5817,55893,KA,AP RLW,APAC WHOLESALE,RLWJPN,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,JPN,8000,,
55894,S050002,S0500,NULL,504,515,515,5818,55894,KA,AP RLW,APAC WHOLESALE,RLWJPN,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,JPN,8000,,
55895,S050102,S0501,NULL,504,514,514,5819,55895,KA,AP RLW,APAC WHOLESALE,RLWJPN,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,JPN,8000,,
55896,S050202,S0502,NULL,504,513,513,5820,55896,KA,AP RLW,APAC WHOLESALE,RLWJPN,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,JPN,8000,,
55897,S050401,S0504,NULL,504,512,512,5822,55897,KA,AP RLW,APAC WHOLESALE,RLWJPN,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,JPN,8000,,
55659,7071203,70712,NULL,504,511,511,5168,55659,CK,AP RLW,APAC WHOLESALE,RLWJPN,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,JPN,8000,,
55660,1201007,12010,NULL,504,513,513,5195,55660,CK,AP RLW,APAC WHOLESALE,RLWJPN,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,JPN,8000,,
55661,8160106,81601,NULL,504,515,515,5241,55661,CK,AP RLW,APAC WHOLESALE,RLWJPN,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,JPN,8000,,
55662,1184009,11840,NULL,504,513,513,5194,55662,CK,AP RLW,APAC WHOLESALE,RLWJPN,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,JPN,8000,,
55663,5240008,52400,NULL,504,510,510,5161,55663,CK,AP RLW,APAC WHOLESALE,RLWJPN,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,JPN,8000,,
55664,1181006,11810,NULL,504,513,513,5710,55664,CK,AP RLW,APAC WHOLESALE,RLWJPN,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,JPN,8000,,
55665,6033006,60330,NULL,504,516,516,5251,55665,CK,AP RLW,APAC WHOLESALE,RLWJPN,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,JPN,8000,,
55666,1290003,12900,NULL,504,513,513,5734,55666,CK,AP RLW,APAC WHOLESALE,RLWJPN,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,JPN,8000,,
55667,8281007,82810,NULL,504,515,515,5244,55667,CK,AP RLW,APAC WHOLESALE,RLWJPN,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,JPN,8000,,
55728,2065005,20650,NULL,503,506,506,5664,55728,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,SIS,JPN,8000,,
55729,1184010,11840,NULL,503,505,505,5060,55729,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,SIS,JPN,8000,,
55730,8011015,80110,NULL,504,515,515,5236,55730,CK,AP RLW,APAC WHOLESALE,RLWJPN,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,JPN,8000,,
55731,8011016,80110,NULL,504,515,515,5236,55731,CK,AP RLW,APAC WHOLESALE,RLWJPN,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,JPN,8000,,
55732,8011017,80110,NULL,504,515,515,5236,55732,CK,AP RLW,APAC WHOLESALE,RLWJPN,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,JPN,8000,,
74052,7405201,74002,NULL,783,719,176,7028,74052,WS,AP RLW,APAC WHOLESALE,RLWANZ,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,AU,7111,,
58992,S039901,S0399,NULL,503,505,505,5720,58992,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,OFF-SITE,JPN,8000,,
55898,S050501,S0505,NULL,504,516,516,5823,55898,KA,AP RLW,APAC WHOLESALE,RLWJPN,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,JPN,8000,,
55733,8011018,80110,NULL,504,515,515,5236,55733,CK,AP RLW,APAC WHOLESALE,RLWJPN,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,JPN,8000,,
58993,S040001,S0400,NULL,504,513,513,5721,58993,CK,AP RLW,APAC WHOLESALE,RLWJPN,AP RLW,APAC WHOLESALE,OFF-SITE,JPN,8000,,
58994,S040001,S0400,NULL,504,513,513,5721,58994,CK,AP RLW,APAC WHOLESALE,RLWJPN,AP RLW,APAC WHOLESALE,OFF-SITE,JPN,8000,,
58995,S040001,S0400,NULL,504,513,513,5721,58995,CK,AP RLW,APAC WHOLESALE,RLWJPN,AP RLW,APAC WHOLESALE,OFF-SITE,JPN,8000,,
74077,7407701,74002,NULL,783,719,176,7028,74077,WS,AP RLW,APAC WHOLESALE,RLWANZ,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,AU,7111,,
74078,7407801,74009,NULL,783,719,177,7035,74078,WS,AP RLW,APAC WHOLESALE,RLWANZ,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,AU,7111,,
74079,7407901,74058,NULL,783,719,176,7080,74079,WS,AP RLW,APAC WHOLESALE,RLWANZ,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,AU,7111,,
74080,7408001,74058,NULL,783,719,176,7080,74080,WS,AP RLW,APAC WHOLESALE,RLWANZ,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,AU,7111,,
74081,7408101,74060,NULL,783,719,177,7082,74081,WS,AP RLW,APAC WHOLESALE,RLWANZ,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,AU,7111,,
74082,7408201,74060,NULL,783,719,177,7082,74082,WS,AP RLW,APAC WHOLESALE,RLWANZ,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,AU,7111,,
74100,7410001,74100,NULL,783,719,176,7090,74100,WS,AP RLW,APAC WHOLESALE,RLWANZ,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,AU,7111,,
74101,7410101,74100,NULL,783,719,176,7090,74101,WS,AP RLW,APAC WHOLESALE,RLWANZ,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,AU,7111,,
59005,2032603,20326,NULL,503,503,503,5388,59005,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,OFF-SITE,JPN,8000,,
59006,1001804,10018,NULL,503,502,518,5003,59006,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,OFF-SITE,JPN,8000,,
59007,3153009,31530,NULL,503,502,518,5017,59007,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,OUTPOST,JPN,8000,,
59037,2069509,20695,NULL,503,507,507,5271,59037,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,OUTPOST,JPN,8000,,
59038,3153005,31530,NULL,503,502,518,5017,59038,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,OFF-SITE,JPN,8000,,
59039,1311104,13111,NULL,503,505,505,5064,59039,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,OFF-SITE,JPN,8000,,
59040,8011207,80112,NULL,503,507,507,5125,59040,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,OFF-SITE,JPN,8000,,
59041,8011207,80112,NULL,503,507,507,5125,59041,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,OFF-SITE,JPN,8000,,
59042,8011207,80112,NULL,503,507,507,5125,59042,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,OFF-SITE,JPN,8000,,
59043,2032104,20321,NULL,503,505,505,5077,59043,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,OFF-SITE,JPN,8000,,
56157,S041001,S0410,NULL,506,524,525,5367,56157,RT,AP PFS,APAC FACTORY OUTLET,PFSJPN,AP PFS,APAC FACTORY OUTLET,FSS,JPN,8000,,
56158,S041101,S0411,NULL,506,522,523,5361,56158,RT,AP PFS,APAC FACTORY OUTLET,PFSJPN,AP PFS,APAC FACTORY OUTLET,POP-UP,JPN,8000,,
56159,S041201,S0412,NULL,506,524,525,5403,56159,RT,AP PFS,APAC FACTORY OUTLET,PFSJPN,AP PFS,APAC FACTORY OUTLET,FSS,JPN,8000,,
56160,S041301,S0413,NULL,506,525,526,5430,56160,RT,AP PFS,APAC FACTORY OUTLET,PFSJPN,AP PFS,APAC FACTORY OUTLET,FSS,JPN,8000,,
56161,S041401,S0414,NULL,506,525,526,5402,56161,RT,AP PFS,APAC FACTORY OUTLET,PFSJPN,AP PFS,APAC FACTORY OUTLET,FSS,JPN,8000,,
56162,S041501,S0415,NULL,506,525,526,5360,56162,RT,AP PFS,APAC FACTORY OUTLET,PFSJPN,AP PFS,APAC FACTORY OUTLET,FSS,JPN,8000,,
56129,S016701,S0167,NULL,506,524,525,5437,56129,RT,AP PFS,APAC FACTORY OUTLET,PFSJPN,AP PFS,APAC FACTORY OUTLET,POP-UP,JPN,8000,,
56130,S013204,S0132,NULL,506,526,527,5375,56130,RT,AP PFS,APAC FACTORY OUTLET,PFSJPN,AP PFS,APAC FACTORY OUTLET,FSS,JPN,8000,,
56133,S012004,S0120,NULL,506,525,526,5402,56133,RT,AP PFS,APAC FACTORY OUTLET,PFSJPN,AP PFS,APAC FACTORY OUTLET,FSS,JPN,8000,,
56134,S017201,S0172,NULL,506,524,525,5454,56134,RT,AP PFS,APAC FACTORY OUTLET,PFSJPN,AP PFS,APAC FACTORY OUTLET,POP-UP,JPN,8000,,
56137,S016702,S0167,NULL,506,524,525,5437,56137,RT,AP PFS,APAC FACTORY OUTLET,PFSJPN,AP PFS,APAC FACTORY OUTLET,POP-UP,JPN,8000,,
58668,1021001,10210,NULL,503,505,505,5269,58668,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,SIS,JPN,8000,,
58669,101901,1019,NULL,503,505,505,5037,58669,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,SIS,JPN,8000,,
58670,2021203,20212,NULL,503,506,506,5102,58670,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,SIS,JPN,8000,,
58674,2021704,20217,NULL,503,503,503,5022,58674,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,SIS,JPN,8000,,
58675,2022202,20222,NULL,503,508,508,5140,58675,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,SIS,JPN,8000,,
58676,2022603,20226,NULL,503,505,505,5074,58676,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,SIS,JPN,8000,,
58678,2023202,20232,NULL,503,506,506,5103,58678,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,SIS,JPN,8000,,
58680,2067506,20675,NULL,503,505,505,5080,58680,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,SIS,JPN,8000,,
58825,1191103,11911,NULL,503,505,505,5434,58825,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,OFF-SITE,JPN,8000,,
58826,1191103,11911,NULL,503,505,505,5434,58826,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,OFF-SITE,JPN,8000,,
58827,1191103,11911,NULL,503,505,505,5434,58827,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,OFF-SITE,JPN,8000,,
58997,S040001,S0400,NULL,504,513,513,5721,58997,CK,AP RLW,APAC WHOLESALE,RLWJPN,AP RLW,APAC WHOLESALE,OFF-SITE,JPN,8000,,
58998,S040001,S0400,NULL,504,513,513,5721,58998,CK,AP RLW,APAC WHOLESALE,RLWJPN,AP RLW,APAC WHOLESALE,OFF-SITE,JPN,8000,,
58999,1184006,11840,NULL,503,505,505,5060,58999,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,OFF-SITE,JPN,8000,,
59000,S040301,S0403,NULL,504,513,513,5724,59000,CK,AP RLW,APAC WHOLESALE,RLWJPN,AP RLW,APAC WHOLESALE,OUTPOST,JPN,8000,,
59001,W004201,W0042,NULL,503,505,599,5726,59001,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,DC-OTHER,JPN,8000,,
59002,S040501,S0405,NULL,503,505,505,5727,59002,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,OUTPOST,JPN,8000,,
59003,2021401,20214,NULL,503,505,505,5070,59003,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,OUTPOST,JPN,8000,,
71010,7101001,71010,NULL,782,712,719,7003,71010,RT,AP PFS,APAC FACTORY OUTLET,PFSANZ,AP PFS,APAC FACTORY OUTLET,FSS,AU,7111,,
71011,7101101,71011,NULL,782,712,719,7004,71011,RT,AP PFS,APAC FACTORY OUTLET,PFSANZ,AP PFS,APAC FACTORY OUTLET,FSS,AU,7111,,
71012,7101201,71012,NULL,782,712,719,7075,71012,RT,AP PFS,APAC FACTORY OUTLET,PFSANZ,AP PFS,APAC FACTORY OUTLET,EMPLOYEE SALE,AU,7111,,
71014,7101401,71014,NULL,782,712,719,7088,71014,RT,AP PFS,APAC FACTORY OUTLET,PFSANZ,AP PFS,APAC FACTORY OUTLET,FSS,AU,7111,,
71015,7101501,71015,NULL,782,712,719,7091,71015,RT,AP PFS,APAC FACTORY OUTLET,PFSANZ,AP PFS,APAC FACTORY OUTLET,FSS,AU,7111,,
57051,E000004,E0000,NULL,510,530,591,5475,57051,CK,JP RLE,JAPAN E-COMMERCE,RLEJPN,JP RLE,JAPAN E-COMMERCE,ECOM,JPN,8000,,
57053,E000008,E0000,NULL,510,530,591,5659,57053,SH,JP RLE,JAPAN E-COMMERCE,RLEJPN,JP RLE,JAPAN E-COMMERCE,ECOM,JPN,8000,,
57054,E000008,E0000,NULL,510,530,591,5659,57054,SH,JP RLE,JAPAN E-COMMERCE,RLEJPN,JP RLE,JAPAN E-COMMERCE,ECOM,JPN,8000,,
57055,E000006,E0000,NULL,510,530,591,5551,57055,SH,JP RLE,JAPAN E-COMMERCE,RLEJPN,JP RLE,JAPAN E-COMMERCE,ECOM,JPN,8000,,
57056,E000006,E0000,NULL,510,530,591,5551,57056,SH,JP RLE,JAPAN E-COMMERCE,RLEJPN,JP RLE,JAPAN E-COMMERCE,ECOM,JPN,8000,,
58024,7071102,70711,NULL,504,511,511,5167,58024,CK,AP RLW,APAC WHOLESALE,RLWJPN,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,JPN,8000,,
58025,7071201,70712,NULL,504,511,511,5168,58025,CK,AP RLW,APAC WHOLESALE,RLWJPN,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,JPN,8000,,
58027,7071202,70712,NULL,504,511,511,5168,58027,CK,AP RLW,APAC WHOLESALE,RLWJPN,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,JPN,8000,,
58029,7081001,70810,NULL,503,503,503,5028,58029,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,SIS,JPN,8000,,
58030,7102002,71020,NULL,504,511,511,5170,58030,CK,AP RLW,APAC WHOLESALE,RLWJPN,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,JPN,8000,,
58045,510501,5105,NULL,504,513,513,5176,58045,CK,AP RLW,APAC WHOLESALE,RLWJPN,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,JPN,8000,,
58071,1132003,11320,NULL,504,513,513,5260,58071,CK,AP RLW,APAC WHOLESALE,RLWJPN,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,JPN,8000,,
58076,1132402,11324,NULL,504,513,513,5191,58076,CK,AP RLW,APAC WHOLESALE,RLWJPN,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,JPN,8000,,
58082,1181001,11810,NULL,503,505,505,5059,58082,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,SIS,JPN,8000,,
55795,8151007,81510,NULL,504,515,515,5240,55795,CK,AP RLW,APAC WHOLESALE,RLWJPN,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,JPN,8000,,
79953,NA,NA,NULL,720,720,720,798,79953,NA,HKG FP,GCSEA FULL PRICE,RLHKDC,AP FP,APAC FULL PRICE,Donation -,HK,7100,,
99917,NA,NA,NULL,768,764,723,706,99917,NA,AP RLW,APAC WHOLESALE,RLWHMT,AP RLW,APAC WHOLESALE,WHSL-INTER (APAC),APAC,7088,,
HA10 (100),NA,NA,100,720,720,720,798,99876,NA,HKG FP,GCSEA FULL PRICE,RLHKDC,AP FP,APAC FULL PRICE,DC-WH,APAC,7088,,
58157,6081002,60810,NULL,504,516,516,5253,58157,CK,AP RLW,APAC WHOLESALE,RLWJPN,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,JPN,8000,,
58165,7071102,70711,NULL,504,511,511,5167,58165,KA,AP RLW,APAC WHOLESALE,RLWJPN,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,JPN,8000,,
58201,8181006,81810,NULL,503,507,507,5132,58201,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,OFF-SITE,JPN,8000,,
58205,1001008,10010,NULL,503,505,505,5039,58205,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,OFF-SITE,JPN,8000,,
58208,1001008,10010,NULL,503,505,505,5039,58208,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,OFF-SITE,JPN,8000,,
58209,1001008,10010,NULL,503,505,505,5039,58209,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,OFF-SITE,JPN,8000,,
58227,1001706,10017,NULL,503,502,518,5002,58227,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,OFF-SITE,JPN,8000,,
58228,1001706,10017,NULL,503,502,518,5002,58228,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,OFF-SITE,JPN,8000,,
58229,1001706,10017,NULL,503,502,518,5002,58229,SH,JPN FP,JAPAN FULL PRICE,RLCJPN,AP FP,APAC FULL PRICE,OFF-SITE,JPN,8000,,
58233,1001801,10018,NULL,504,510,510,5148,58233,CK,AP RLW,APAC WHOLESALE,RLWJPN,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,JPN,8000,,
55899,S050601,S0506,NULL,504,513,513,5824,55899,KA,AP RLW,APAC WHOLESALE,RLWJPN,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,JPN,8000,,
74119,7411901,74118,NULL,783,719,175,7100,74119,WS,AP RLW,APAC WHOLESALE,RLWANZ,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,AU,7111,,
74120,7412001,74120,NULL,783,719,175,7101,74120,WS,AP RLW,APAC WHOLESALE,RLWANZ,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,AU,7111,,
74121,7412101,74120,NULL,783,719,175,7101,74121,WS,AP RLW,APAC WHOLESALE,RLWANZ,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,AU,7111,,
74122,7412201,74122,NULL,783,719,177,7102,74122,WS,AP RLW,APAC WHOLESALE,RLWANZ,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,AU,7111,,
74123,7412301,74122,NULL,783,719,177,7102,74123,WS,AP RLW,APAC WHOLESALE,RLWANZ,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,AU,7111,,
74124,7412401,74124,NULL,783,719,184,7105,74124,WS,AP RLW,APAC WHOLESALE,RLWANZ,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,AU,7111,,
74125,7412501,74124,NULL,783,719,184,7105,74125,WS,AP RLW,APAC WHOLESALE,RLWANZ,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,AU,7111,,
74126,7412601,74126,NULL,783,719,176,7107,74126,WS,AP RLW,APAC WHOLESALE,RLWANZ,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,AU,7111,,
74127,7412701,74126,NULL,783,719,176,7107,74127,WS,AP RLW,APAC WHOLESALE,RLWANZ,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,AU,7111,,
74128,7412801,74128,NULL,783,719,175,7108,74128,WS,AP RLW,APAC WHOLESALE,RLWANZ,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,AU,7111,,
74129,7412901,74128,NULL,783,719,175,7108,74129,WS,AP RLW,APAC WHOLESALE,RLWANZ,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,AU,7111,,
74130,7413001,74130,NULL,783,719,179,7126,74130,WS,AP RLW,APAC WHOLESALE,RLWANZ,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,AU,7111,,
74131,7413101,74130,NULL,783,719,179,7126,74131,WS,AP RLW,APAC WHOLESALE,RLWANZ,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,AU,7111,,
55734,8011019,80110,NULL,504,515,515,5236,55734,CK,AP RLW,APAC WHOLESALE,RLWJPN,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,JPN,8000,,
55735,8011020,80110,NULL,504,515,515,5236,55735,CK,AP RLW,APAC WHOLESALE,RLWJPN,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,JPN,8000,,
55736,8011021,80110,NULL,504,515,515,5236,55736,CK,AP RLW,APAC WHOLESALE,RLWJPN,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,JPN,8000,,
55737,8011022,80110,NULL,504,515,515,5236,55737,CK,AP RLW,APAC WHOLESALE,RLWJPN,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,JPN,8000,,
55738,8011023,80110,NULL,504,515,515,5236,55738,CK,AP RLW,APAC WHOLESALE,RLWJPN,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,JPN,8000,,
55739,8011024,80110,NULL,504,515,515,5236,55739,CK,AP RLW,APAC WHOLESALE,RLWJPN,AP RLW,APAC WHOLESALE,WHSL-CUSTOMER,JPN,8000,,
